GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;;;;;;;;;
Libro Auxiliar entre el 01/01/2026 y el 31/03/2026;;;;;;;;;
Elaborado Bajo Normas Locales;;;;;;;;;
Inventario;Cuenta;Tercero;Fecha;Nota;Cheque;Doc Num;Débitos;Créditos;Saldo
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR  LENOVO TINY m720q;;(GCG) dp 98;0,00;35.187,00;-1.794.537,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;1.794.537,00;-1.794.537,00
Total COMPUTADOR  LENOVO TINY m720q ACTIF-043;;;;;;;2.308.000,00;1.794.537,00;513.463,00
COMPUTADOR 2 EN 1 LENOVO ACTIF-003;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;1.273.300,00;0,00;1.273.300,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;1.273.300,00;0,00;1.273.300,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;1.145.970,00;-1.145.970,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;1.145.970,00;-1.145.970,00
Total COMPUTADOR 2 EN 1 LENOVO ACTIF-003;;;;;;;1.273.300,00;1.145.970,00;127.330,00
COMPUTADOR 2 EN 1 LENOVO PORTATIL ACTIF-002;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;1.273.300,00;0,00;1.273.300,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;1.273.300,00;0,00;1.273.300,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;1.145.970,00;-1.145.970,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;1.145.970,00;-1.145.970,00
Total COMPUTADOR 2 EN 1 LENOVO PORTATIL ACTIF-002;;;;;;;1.273.300,00;1.145.970,00;127.330,00
"COMPUTADOR ASUS M3500QA VIVO BOOK PRO OLED 15,6"" ACTIF-054 COMPUTADOR ASUS M3500QA";152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;4.032.773,00;0,00;4.032.773,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;4.032.773,00;0,00;4.032.773,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;2.661.648,00;-2.661.648,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;"DEPRECIACION ENERO 2026  COMPUTADOR ASUS M3500QA VIVO BOOK PRO OLED 15,6""";;(GCG) dp 96;0,00;60.492,00;-2.722.140,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;"DEPRECIACION FEBRERO 2026  COMPUTADOR ASUS M3500QA VIVO BOOK PRO OLED 15,6""";;(GCG) dp 97;0,00;60.492,00;-2.782.632,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;"DEPRECIACION MARZO 2026  COMPUTADOR ASUS M3500QA VIVO BOOK PRO OLED 15,6""";;(GCG) dp 98;0,00;60.492,00;-2.843.124,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;2.843.124,00;-2.843.124,00
"Total COMPUTADOR ASUS M3500QA VIVO BOOK PRO OLED 15,6"" ACTIF-054 COMPUTADOR ASUS M3500QA";;;;;;;4.032.773,00;2.843.124,00;1.189.649,00
COMPUTADOR ASUS VIVOBOOK 15 X 1505Z ACTIF-138;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;1.457.028,00;0,00;1.457.028,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;1.457.028,00;0,00;1.457.028,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;196.695,00;-196.695,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COMPUTADOR ASUS VIVOBOOK 15 X 1505Z;;(GCG) dp 96;0,00;21.855,00;-218.550,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADOR ASUS VIVOBOOK 15 X 1505Z;;(GCG) dp 97;0,00;21.855,00;-240.405,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR ASUS VIVOBOOK 15 X 1505Z;;(GCG) dp 98;0,00;21.855,00;-262.260,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;262.260,00;-262.260,00
Total COMPUTADOR ASUS VIVOBOOK 15 X 1505Z ACTIF-138;;;;;;;1.457.028,00;262.260,00;1.194.768,00
COMPUTADOR DE ESCRITORIO HP TINY 400g6 ACTIF-043 COMPUTADOR DE ESCRITORIO HP TINY 400g6;152810 EQUIPOS DE TELECOMUNICACIONES;;31/12/2025;SALDO INICIAL;;;1.790.479,00;0,00;1.790.479,00
;Total 152810 EQUIPOS DE TELECOMUNICACIONES;;;;;;1.790.479,00;0,00;1.790.479,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;1.342.850,00;-1.342.850,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COMPUTADOR DE ESCRITORIO HP TINY 400g6;;(GCG) dp 96;0,00;26.857,00;-1.369.707,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADOR DE ESCRITORIO HP TINY 400g6;;(GCG) dp 97;0,00;26.857,00;-1.396.564,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR DE ESCRITORIO HP TINY 400g6;;(GCG) dp 98;0,00;26.857,00;-1.423.421,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;1.423.421,00;-1.423.421,00
Total COMPUTADOR DE ESCRITORIO HP TINY 400g6 ACTIF-043 COMPUTADOR DE ESCRITORIO HP TINY 400g6;;;;;;;1.790.479,00;1.423.421,00;367.058,00
COMPUTADOR DELL LATITUDE 5340 CORE 15 ACTIF-132;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;2.185.542,00;0,00;2.185.542,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;2.185.542,00;0,00;2.185.542,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;393.396,00;-393.396,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COMPUTADOR DELL LATITUDE 5340 CORE 15;;(GCG) dp 96;0,00;32.783,00;-426.179,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADOR DELL LATITUDE 5340 CORE 15;;(GCG) dp 97;0,00;32.783,00;-458.962,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR DELL LATITUDE 5340 CORE 15;;(GCG) dp 98;0,00;32.783,00;-491.745,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;491.745,00;-491.745,00
Total COMPUTADOR DELL LATITUDE 5340 CORE 15 ACTIF-132;;;;;;;2.185.542,00;491.745,00;1.693.797,00
COMPUTADOR DELL PROCESADOR INTER CORE I5 1TB ACTIF-078 COMPUTADOR DELL;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;2.100.000,00;0,00;2.100.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;2.100.000,00;0,00;2.100.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;1.071.000,00;-1.071.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COMPUTADOR DELL PROCESADOR INTER CORE I5 1TB;;(GCG) dp 96;0,00;31.500,00;-1.102.500,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADOR DELL PROCESADOR INTER CORE I5 1TB;;(GCG) dp 97;0,00;31.500,00;-1.134.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR DELL PROCESADOR INTER CORE I5 1TB;;(GCG) dp 98;0,00;31.500,00;-1.165.500,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;1.165.500,00;-1.165.500,00
Total COMPUTADOR DELL PROCESADOR INTER CORE I5 1TB ACTIF-078 COMPUTADOR DELL;;;;;;;2.100.000,00;1.165.500,00;934.500,00
COMPUTADOR HP INTEL CORE 17 16GB 512GB ACTIF-163;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;INTELIGENCIA TECNOLOGICA NBA SAS;09/02/2026;FC413 COMPUTADOR BOG;;(GCG) FC 639;2.650.000,00;0,00;2.650.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;2.650.000,00;0,00;2.650.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADOR HP INTEL CORE 17 16GB 512GB;;(GCG) dp 97;0,00;39.750,00;-39.750,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR HP INTEL CORE 17 16GB 512GB;;(GCG) dp 98;0,00;39.750,00;-79.500,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;79.500,00;-79.500,00
Total COMPUTADOR HP INTEL CORE 17 16GB 512GB ACTIF-163;;;;;;;2.650.000,00;79.500,00;2.570.500,00
COMPUTADOR HP INTEL CORE 17 16GB ACTIF-170;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;INTELIGENCIA TECNOLOGICA NBA SAS;25/03/2026;FC446 COMPUTADOR ESCRITORIO BOG;;(GCG) FC 1510;2.650.000,00;0,00;2.650.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;2.650.000,00;0,00;2.650.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR HP INTEL CORE 17 16GB;;(GCG) dp 98;0,00;39.750,00;-39.750,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;39.750,00;-39.750,00
Total COMPUTADOR HP INTEL CORE 17 16GB ACTIF-170;;;;;;;2.650.000,00;39.750,00;2.610.250,00
COMPUTADOR HP PRO MINI 400 G9 ACTIF-092;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;2.237.500,00;0,00;2.237.500,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;2.237.500,00;0,00;2.237.500,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;805.512,00;-805.512,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COMPUTADOR HP PRO MINI 400 G9;;(GCG) dp 96;0,00;33.563,00;-839.075,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADOR HP PRO MINI 400 G9;;(GCG) dp 97;0,00;33.563,00;-872.638,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR HP PRO MINI 400 G9;;(GCG) dp 98;0,00;33.563,00;-906.201,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;906.201,00;-906.201,00
Total COMPUTADOR HP PRO MINI 400 G9 ACTIF-092;;;;;;;2.237.500,00;906.201,00;1.331.299,00
COMPUTADOR HP-14 INTEL CORE I5-10400 16 RAM ACTIF-159;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;1.003.950,00;0,00;1.003.950,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;1.003.950,00;0,00;1.003.950,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;45.177,00;-45.177,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COMPUTADOR HP-14 INTEL CORE I5-10400 16 RAM;;(GCG) dp 96;0,00;15.059,00;-60.236,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADOR HP-14 INTEL CORE I5-10400 16 RAM;;(GCG) dp 97;0,00;15.059,00;-75.295,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR HP-14 INTEL CORE I5-10400 16 RAM;;(GCG) dp 98;0,00;15.059,00;-90.354,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;90.354,00;-90.354,00
Total COMPUTADOR HP-14 INTEL CORE I5-10400 16 RAM ACTIF-159;;;;;;;1.003.950,00;90.354,00;913.596,00
COMPUTADOR HUAWEI MATE BOOK D 15 ACTIF-021;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;1.959.900,00;0,00;1.959.900,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;1.959.900,00;0,00;1.959.900,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;1.763.910,00;-1.763.910,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;1.763.910,00;-1.763.910,00
Total COMPUTADOR HUAWEI MATE BOOK D 15 ACTIF-021;;;;;;;1.959.900,00;1.763.910,00;195.990,00
"COMPUTADOR JANUS 22"" ACTIF-014";152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;2.400.000,00;0,00;2.400.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;2.400.000,00;0,00;2.400.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;2.160.000,00;-2.160.000,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;2.160.000,00;-2.160.000,00
"Total COMPUTADOR JANUS 22"" ACTIF-014";;;;;;;2.400.000,00;2.160.000,00;240.000,00
COMPUTADOR LENOVO THINKBOOK 14 G6 ACTIF-137;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;2.830.797,00;0,00;2.830.797,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;2.830.797,00;0,00;2.830.797,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;424.620,00;-424.620,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COMPUTADOR LENOVO THINKBOOK 14 G6;;(GCG) dp 96;0,00;42.462,00;-467.082,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADOR LENOVO THINKBOOK 14 G6;;(GCG) dp 97;0,00;42.462,00;-509.544,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR LENOVO THINKBOOK 14 G6;;(GCG) dp 98;0,00;42.462,00;-552.006,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;552.006,00;-552.006,00
Total COMPUTADOR LENOVO THINKBOOK 14 G6 ACTIF-137;;;;;;;2.830.797,00;552.006,00;2.278.791,00
COMPUTADOR LENOVO THINKCENTRE M701 GEN 2 ACTIF-109;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;2.780.000,00;0,00;2.780.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;2.780.000,00;0,00;2.780.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;917.400,00;-917.400,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COMPUTADOR LENOVO THINKCENTRE M701 GEN 2;;(GCG) dp 96;0,00;41.700,00;-959.100,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADOR LENOVO THINKCENTRE M701 GEN 2;;(GCG) dp 97;0,00;41.700,00;-1.000.800,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR LENOVO THINKCENTRE M701 GEN 2;;(GCG) dp 98;0,00;41.700,00;-1.042.500,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;1.042.500,00;-1.042.500,00
Total COMPUTADOR LENOVO THINKCENTRE M701 GEN 2 ACTIF-109;;;;;;;2.780.000,00;1.042.500,00;1.737.500,00
COMPUTADOR LENOVO THINKCENTRE M910S ACTIF-091;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;1.582.000,00;0,00;1.582.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;1.582.000,00;0,00;1.582.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;569.520,00;-569.520,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COMPUTADOR LENOVO THINKCENTRE M910S;;(GCG) dp 96;0,00;23.730,00;-593.250,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADOR LENOVO THINKCENTRE M910S;;(GCG) dp 97;0,00;23.730,00;-616.980,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR LENOVO THINKCENTRE M910S;;(GCG) dp 98;0,00;23.730,00;-640.710,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;640.710,00;-640.710,00
Total COMPUTADOR LENOVO THINKCENTRE M910S ACTIF-091;;;;;;;1.582.000,00;640.710,00;941.290,00
COMPUTADOR LENOVO-SAMSUG ACTIF-011;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;2.393.689,00;0,00;2.393.689,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;2.393.689,00;0,00;2.393.689,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;2.163.689,00;-2.163.689,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;2.163.689,00;-2.163.689,00
Total COMPUTADOR LENOVO-SAMSUG ACTIF-011;;;;;;;2.393.689,00;2.163.689,00;230.000,00
COMPUTADOR PORTATIL DELL INSPIRON 15-7568 ACTIF-070 COMPUTADOR PORTATIL DELL;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;1.600.000,00;0,00;1.600.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;1.600.000,00;0,00;1.600.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;960.000,00;-960.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COMPUTADOR PORTATIL DELL INSPIRON 15-7568;;(GCG) dp 96;0,00;24.000,00;-984.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADOR PORTATIL DELL INSPIRON 15-7568;;(GCG) dp 97;0,00;24.000,00;-1.008.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR PORTATIL DELL INSPIRON 15-7568;;(GCG) dp 98;0,00;24.000,00;-1.032.000,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;1.032.000,00;-1.032.000,00
Total COMPUTADOR PORTATIL DELL INSPIRON 15-7568 ACTIF-070 COMPUTADOR PORTATIL DELL;;;;;;;1.600.000,00;1.032.000,00;568.000,00
COMPUTADOR PORTATIL LENOVO YOGA ACTIF-071 COMPUTADOR PORTATIL LENOVO;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;2.000.000,00;0,00;2.000.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;2.000.000,00;0,00;2.000.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;1.200.000,00;-1.200.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COMPUTADOR PORTATIL LENOVO YOGA;;(GCG) dp 96;0,00;30.000,00;-1.230.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADOR PORTATIL LENOVO YOGA;;(GCG) dp 97;0,00;30.000,00;-1.260.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR PORTATIL LENOVO YOGA;;(GCG) dp 98;0,00;30.000,00;-1.290.000,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;1.290.000,00;-1.290.000,00
Total COMPUTADOR PORTATIL LENOVO YOGA ACTIF-071 COMPUTADOR PORTATIL LENOVO;;;;;;;2.000.000,00;1.290.000,00;710.000,00
COMPUTADOR THINKPAD L14 GEN 4 ACTIF-139;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;2.289.616,00;0,00;2.289.616,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;2.289.616,00;0,00;2.289.616,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;309.096,00;-309.096,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COMPUTADOR THINKPAD L14 GEN 4;;(GCG) dp 96;0,00;34.344,00;-343.440,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADOR THINKPAD L14 GEN 4;;(GCG) dp 97;0,00;34.344,00;-377.784,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADOR THINKPAD L14 GEN 4;;(GCG) dp 98;0,00;34.344,00;-412.128,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;412.128,00;-412.128,00
Total COMPUTADOR THINKPAD L14 GEN 4 ACTIF-139;;;;;;;2.289.616,00;412.128,00;1.877.488,00
COMPUTADORA LENOVO M710Q INTER COREI5 7500 8GB ACTIF-059 COMPUTADORA LENOVO M710Q;152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;31/12/2025;SALDO INICIAL;;;2.700.000,00;0,00;2.700.000,00
;Total 152805 EQUIPOS DE PROCESAMIENTO DE DATOS;;;;;;2.700.000,00;0,00;2.700.000,00
;159220 EQUIPO DE COMPUTACION Y COMUNICACION;;31/12/2025;SALDO INICIAL;;;0,00;1.795.500,00;-1.795.500,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  COMPUTADORA LENOVO M710Q INTER COREI5 7500 8GB;;(GCG) dp 96;0,00;42.750,00;-1.838.250,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  COMPUTADORA LENOVO M710Q INTER COREI5 7500 8GB;;(GCG) dp 97;0,00;42.750,00;-1.881.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  COMPUTADORA LENOVO M710Q INTER COREI5 7500 8GB;;(GCG) dp 98;0,00;42.750,00;-1.923.750,00
;Total 159220 EQUIPO DE COMPUTACION Y COMUNICACION;;;;;;0,00;1.923.750,00;-1.923.750,00
Total COMPUTADORA LENOVO M710Q INTER COREI5 7500 8GB ACTIF-059 COMPUTADORA LENOVO M710Q;;;;;;;2.700.000,00;1.923.750,00;776.250,00
CONGELADOR CHALLENGER CH 199 LT ACTIF-089 CONGELADOR CHALLENGER;152005 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;1.300.000,00;0,00;1.300.000,00
;Total 152005 MAQUINARIA Y EQUIPO;;;;;;1.300.000,00;0,00;1.300.000,00
;159210 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;0,00;234.000,00;-234.000,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/01/2026;DEPRECIACION ENERO 2026  CONGELADOR CHALLENGER CH 199 LT;;(GCG) dp 96;0,00;9.750,00;-243.750,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;28/02/2026;DEPRECIACION FEBRERO 2026  CONGELADOR CHALLENGER CH 199 LT;;(GCG) dp 97;0,00;9.750,00;-253.500,00
;;GVM CORPORATION GLOBAL VETERINARY MEDICINE S A S;31/03/2026;DEPRECIACION MARZO 2026  CONGELADOR CHALLENGER CH 199 LT;;(GCG) dp 98;0,00;9.750,00;-263.250,00
;Total 159210 MAQUINARIA Y EQUIPO;;;;;;0,00;263.250,00;-263.250,00
Total CONGELADOR CHALLENGER CH 199 LT ACTIF-089 CONGELADOR CHALLENGER;;;;;;;1.300.000,00;263.250,00;1.036.750,00
CONGELADOR INDUCOL CH-DPB180 142 LT ACTIF-118;152005 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;950.000,00;0,00;950.000,00
;Total 152005 MAQUINARIA Y EQUIPO;;;;;;950.000,00;0,00;950.000,00
;159210 MAQUINARIA Y EQUIPO;;31/12/2025;SALDO INICIAL;;;0,00;142.500,00;-142.500,00
